location,skew,distortion
baltimore,0.001,0
baltimore,0.1,4
baltimore,0.2,10
baltimore,0.5,12
baltimore,1.0,13
baltimore,2.0,18
baltimore,5.0,20
baltimore,10.0,20
baltimore,20.0,20
baltimore,50.0,20
dallas,0.001,0
dallas,0.1,6
dallas,0.2,6
dallas,0.5,12
dallas,1.0,16
dallas,2.0,19
dallas,5.0,20
dallas,10.0,20
dallas,20.0,20
dallas,50.0,20
decatur,0.001,0
decatur,0.1,2
decatur,0.2,3
decatur,0.5,8
decatur,1.0,7
decatur,2.0,11
decatur,5.0,13
decatur,10.0,15
decatur,20.0,18
decatur,50.0,20
new_york,0.001,0
new_york,0.1,7
new_york,0.2,11
new_york,0.5,18
new_york,1.0,18
new_york,2.0,20
new_york,5.0,20
new_york,10.0,20
new_york,20.0,20
new_york,50.0,20
newhaven,0.001,0
newhaven,0.1,5
newhaven,0.2,7
newhaven,0.5,12
newhaven,1.0,16
newhaven,2.0,18
newhaven,5.0,20
newhaven,10.0,20
newhaven,20.0,20
newhaven,50.0,20
redmond,0.001,0
redmond,0.1,3
redmond,0.2,4
redmond,0.5,6
redmond,1.0,12
redmond,2.0,15
redmond,5.0,20
redmond,10.0,20
redmond,20.0,20
redmond,50.0,20
