location,skew,distortion
baltimore,0.001,0
baltimore,0.1,0
baltimore,0.2,1
baltimore,0.5,3
baltimore,1.0,5
baltimore,2.0,8
baltimore,5.0,13
baltimore,10.0,16
baltimore,20.0,18
baltimore,50.0,20
dallas,0.001,0
dallas,0.1,2
dallas,0.2,2
dallas,0.5,7
dallas,1.0,8
dallas,2.0,11
dallas,5.0,16
dallas,10.0,19
dallas,20.0,19
dallas,50.0,20
decatur,0.001,0
decatur,0.1,1
decatur,0.2,2
decatur,0.5,4
decatur,1.0,7
decatur,2.0,9
decatur,5.0,12
decatur,10.0,15
decatur,20.0,16
decatur,50.0,19
new_york,0.001,0
new_york,0.1,1
new_york,0.2,2
new_york,0.5,5
new_york,1.0,6
new_york,2.0,6
new_york,5.0,10
new_york,10.0,14
new_york,20.0,18
new_york,50.0,20
newhaven,0.001,0
newhaven,0.1,1
newhaven,0.2,1
newhaven,0.5,2
newhaven,1.0,3
newhaven,2.0,8
newhaven,5.0,11
newhaven,10.0,16
newhaven,20.0,18
newhaven,50.0,20
redmond,0.001,0
redmond,0.1,0
redmond,0.2,0
redmond,0.5,0
redmond,1.0,2
redmond,2.0,4
redmond,5.0,7
redmond,10.0,7
redmond,20.0,15
redmond,50.0,20
